0,1,2,portfolio
99.83,67.55,56.92,20063.244999999766
99.87,67.5,56.76,20048.394999999768
99.96,67.93,57.54,20048.39499999987
99.43,67.55,57.6,19942.39499999998
98.66,68.25,57.9,20148.89499999998
97.34,68.09,57.95,20148.894999999953
96.67,68.42,58.31,20010.874999999953
102.95,69.26,57.85,21310.83500000003
104.34,69.58,58.21,21409.075000000023
104.21,69.38,58.05,21409.075000000168
106.05,69.63,57.63,21254.51500000025
104.48,68.84,56.73,20940.51500000021
105.79,69.29,55.94,21077.315000000213
105.87,70.24,55.42,21366.11500000021
107.48,73.5,55.9,21366.115000000278
108.37,73.93,55.36,21542.33500000028
108.81,74.28,55.2,21629.455000000296
108.0,74.28,55.62,21629.455000000296
107.93,75.52,55.47,21629.455000000253
108.18,74.54,55.47,21679.4550000001
109.48,75.44,55.25,21940.455000000096
109.38,75.58,55.37,21981.0550000001
109.22,75.68,55.8,21981.055000000084
109.08,75.99,55.53,21952.915000000005
109.36,76.34,54.94,22053.715000000007
108.51,76.49,55.85,22053.715000000066
108.85,76.99,56.4,22122.735000000062
108.03,77.12,57.09,22122.73500000008
107.57,77.18,57.29,22028.89500000008
106.94,77.2,57.29,22028.895000000124
106.82,77.29,56.8,22004.29499999997
106.0,77.51,56.4,22066.77499999997
106.1,76.99,56.23,22066.775
106.73,76.8,56.31,22197.185000000125
107.73,77.95,56.18,22529.535000000124
107.7,78.32,56.02,22529.535000000036
108.36,78.08,56.32,22667.474999999915
105.52,77.37,55.3,22461.574999999917
103.13,76.65,54.35,22461.574999999913
105.44,77.23,54.71,22962.844999999914
107.95,76.09,53.98,23507.514999999876
111.77,75.47,53.9,23316.554999999873
115.57,76.04,54.11,23492.114999999878
114.92,75.63,53.74,23365.83499999987
113.58,75.76,53.01,23365.834999999777
113.57,75.21,53.3,23363.784999999774
113.55,75.73,53.98,23359.684999999885
114.62,76.19,54.39,23501.364999999885
112.71,76.11,54.43,23501.364999999787
112.88,75.95,54.04,23333.274999999776
113.09,76.32,54.19,23376.534999999847
113.95,76.79,53.98,23520.35499999985
112.18,77.21,53.45,23520.354999999803
113.05,76.28,54.14,23702.1849999998
112.52,75.25,53.84,23591.4149999998
113.0,74.42,53.53,23691.7349999998
113.05,74.35,53.35,23702.184999999885
113.89,74.64,53.14,23794.404999999886
114.06,74.48,53.46,23794.404999999824
116.05,74.67,53.3,24208.32499999999
116.3,73.5,52.92,23829.244999999988
117.34,73.76,53.16,23829.244999999963
116.98,73.06,52.95,23756.16499999987
117.63,73.58,53.08,23925.16499999987
117.55,73.13,52.76,23778.91499999987
117.47,73.8,52.61,23778.914999999837
117.12,73.8,53.15,23708.21499999998
117.06,73.57,53.59,23634.384999999977
116.6,73.62,53.63,23634.385000000028
117.65,74.49,54.18,23846.484999999913
118.25,74.16,53.67,23740.88499999991
115.59,73.58,53.63,23740.884999999886
114.48,73.48,53.59,23513.334999999886
113.72,72.83,53.53,23357.534999999883
113.54,72.58,53.07,23320.634999999886
111.49,72.32,52.5,22900.38499999996
111.59,71.57,52.98,22663.38499999996
109.83,71.29,51.77,22574.904999999962
108.84,75.9,52.75,24031.66499999996
110.41,77.71,54.49,24603.624999999956
111.06,78.56,54.62,24603.624999999956
110.88,78.96,54.58,24603.624999999935
107.79,79.19,53.57,23920.735000000026
108.43,80.38,53.93,24280.115000000023
105.71,80.6,54.22,24346.555000000022
107.11,81.8,54.59,24346.554999999946
109.99,80.51,55.44,25000.314999999944
109.95,80.35,55.85,24991.234999999946
110.06,79.98,55.77,25016.20500000006
111.73,79.83,56.1,24969.405000000057
111.8,80.31,57.12,24969.405000000108
111.23,80.26,57.59,25174.79500000011
111.79,80.98,57.43,25104.87500000011
111.57,80.86,57.59,25174.79500000011
111.46,81.11,58.17,25428.25500000024
110.52,80.25,57.97,25213.93500000024
109.49,79.19,58.51,24881.09500000024
109.9,79.5,57.21,24978.43500000024
109.11,80.92,57.5,25424.315000000242
109.95,82.22,57.44,25424.31500000014
111.03,83.27,58.76,25673.79500000014
112.12,83.3,58.65,25925.58500000014
113.95,82.79,58.75,26348.314999999955
113.3,82.6,58.77,26287.894999999953
115.19,83.24,59.31,26491.414999999954
115.19,82.9,58.75,26491.414999999954
115.82,83.46,57.71,26023.415000000008
115.97,83.4,57.66,26057.014999999894
116.64,83.93,57.65,26222.374999999894
116.95,83.76,57.7,26222.37499999979
117.06,84.0,57.44,26247.014999999792
116.29,83.72,57.11,26159.65499999979
116.52,83.41,57.01,26159.654999999708
117.26,83.52,56.86,26325.414999999593
116.76,82.86,56.35,26117.514999999596
116.73,82.87,56.32,26117.51499999968
115.82,82.89,55.52,25914.584999999784
116.15,83.6,55.35,26136.10499999978
116.02,83.49,55.99,26136.104999999698
116.61,82.64,56.46,26268.85499999981
117.91,82.89,57.13,26348.10499999981
118.99,83.02,58.2,26389.31499999981
119.11,82.63,57.88,26389.314999999737
119.75,82.88,58.1,26489.414999999735
119.25,82.18,58.03,26378.914999999663
119.04,82.27,57.85,26407.714999999658
120.0,80.73,58.0,25914.914999999663
119.99,81.65,58.45,25914.91499999955
119.78,81.86,57.89,25981.484999999546
120.0,82.36,57.66,25981.484999999546
120.08,82.44,57.76,25998.76499999966
119.97,84.35,58.44,26600.414999999663
121.88,85.29,58.7,26600.414999999663
121.94,83.36,58.46,26600.41499999993
121.95,82.98,56.12,25535.71499999993
121.63,81.7,55.9,25435.614999999932
121.35,80.71,55.22,25126.214999999997
128.75,80.03,53.9,26658.015
128.53,81.0,53.87,26612.475
129.08,81.6,55.06,26809.274999999998
130.29,81.73,55.73,26809.274999999998
131.53,77.34,55.24,26809.274999999754
132.04,78.25,55.22,26799.574999999753
132.42,77.81,55.81,27085.724999999755
132.12,78.37,56.22,27284.574999999753
133.29,78.48,56.11,27231.22499999975
135.02,78.68,56.58,27459.174999999752
135.51,79.4,56.86,27594.97499999975
135.345,78.66,56.73,27531.924999999752
135.72,79.31,57.35,27832.624999999687
136.7,80.15,57.54,28033.52499999953
137.11,79.65,57.57,27859.02499999953
136.53,79.36,57.64,27859.02499999959
136.66,80.27,57.48,27885.54499999946
136.93,79.28,56.78,27542.01499999946
136.99,78.97,56.87,27542.014999999355
139.79,79.98,57.14,28104.814999999486
138.96,80.02,57.12,28118.85499999948
139.78,80.55,57.1,28118.85499999954
139.34,79.97,56.68,28030.414999999433
139.52,79.66,56.2,27921.914999999433
139.0,80.2,55.74,28110.914999999433
138.68,81.37,55.19,28110.914999999386
139.14,82.1,54.53,28203.83499999954
139.2,81.65,54.63,28049.484999999542
138.99,83.36,54.27,28049.484999999433
140.46,85.24,54.54,28344.954999999438
140.69,85.15,54.8,28391.09499999943
139.99,84.72,55.78,28250.394999999324
141.46,84.3,55.81,28110.534999999323
139.84,83.76,55.54,27930.714999999327
141.42,83.59,55.89,27874.104999999327
140.92,83.74,55.85,27874.104999999552
140.64,83.67,56.81,28353.144999999553
140.88,84.0,57.23,28562.724999999547
143.8,84.0,57.35,28622.604999999552
144.12,84.13,57.54,28717.41499999955
143.93,84.87,58.16,29026.794999999547
143.66,86.22,58.39,29141.56499999955
143.7,84.83,58.44,29166.51499999955
144.77,84.52,58.32,29106.63499999955
144.02,83.83,58.22,29056.73499999955
143.66,84.2,57.92,28907.034999999578
143.34,84.25,58.02,28842.714999999578
143.17,83.71,57.95,28658.034999999574
141.63,83.45,57.88,28658.034999999527
141.8,82.84,57.58,28692.37499999953
141.05,82.34,57.51,28540.874999999483
141.83,83.08,58.08,28796.914999999484
141.2,82.64,58.35,28644.674999999483
140.68,83.37,59.04,28644.674999999435
142.44,84.1,60.08,29001.954999999434
142.27,83.72,60.61,29001.954999999252
143.64,84.72,61.11,29240.954999999252
144.53,85.39,60.96,29169.254999999255
143.68,85.38,61.56,29456.054999999255
143.79,86.07,61.3,29331.774999999252
143.65,85.97,60.06,28739.054999999255
146.58,86.16,60.18,28796.41499999912
147.51,85.92,60.5,28978.69499999936
147.06,86.37,60.59,29130.34499999936
146.53,86.1,60.83,29039.354999999356
148.96,84.44,60.95,29039.354999999476
153.01,83.59,60.94,29825.054999999473
153.99,84.77,60.98,30016.354999999476
153.26,85.77,60.66,29875.734999999342
153.95,85.36,60.27,29733.05499999934
156.1,84.21,59.93,29733.05499999944
155.7,84.48,60.45,29657.05499999957
155.47,83.7,59.98,29383.27499999957
150.25,81.85,59.73,29383.27499999957
152.54,80.83,59.82,29829.824999999568
153.06,80.83,61.36,29931.22499999957
153.99,82.93,61.23,30114.67499999957
153.8,82.11,61.15,30077.544999999573
153.34,82.22,61.89,29988.584999999428
153.87,82.27,62.9,30006.78499999943
153.61,81.86,63.3,29857.54499999943
153.67,82.83,63.26,30210.62499999943
152.76,83.57,63.61,30479.984999999426
153.18,85.64,63.75,30479.98499999938
155.45,86.62,64.57,30929.444999999374
153.93,87.31,64.27,30629.17499999938
154.45,87.46,64.16,30732.134999999376
155.37,86.18,63.5,30914.294999999292
154.99,86.65,62.24,31082.55499999929
148.98,86.17,62.19,30910.71499999929
145.42,86.11,61.29,30910.714999999454
146.59,86.04,60.92,31158.75499999946
145.16,84.87,60.27,30855.59499999956
144.29,84.45,60.09,30703.134999999562
142.27,84.72,60.14,30801.14499999956
146.34,86.2,60.9,31338.384999999562
145.01,85.74,59.86,31338.384999999562
145.87,86.24,59.96,31338.384999999627
145.63,87.36,59.51,31287.02499999949
146.28,88.64,59.81,31745.264999999486
145.82,88.42,59.64,31745.264999999537
143.73,87.72,58.96,31291.734999999393
145.83,88.13,59.18,31437.694999999232
143.68,86.8,58.36,30982.464999999236
144.02,86.74,58.31,31026.784999999236
143.5,86.68,58.25,30937.984999999233
144.09,86.83,57.94,30980.514999999228
142.73,85.96,57.6,30688.114999999445
144.18,87.31,58.04,31170.06499999945
145.06,87.23,57.81,31141.504999999448
145.53,87.65,57.9,31141.50499999953
145.74,88.65,58.54,31186.234999999342
147.77,88.33,58.38,31073.91499999934
149.04,88.61,58.76,31073.914999999208
149.56,88.28,58.33,31182.07499999935
150.08,88.45,58.21,31242.08499999935
151.02,89.78,58.11,31242.084999999275
150.34,89.96,58.03,31102.004999999488
150.27,90.52,57.98,31295.20499999949
152.09,90.67,58.02,31295.204999999463
152.74,91.39,58.55,31428.454999999598
153.46,91.84,57.94,31582.8049999996
150.56,92.21,59.5,31582.804999999487
149.5,91.01,54.0,31361.264999999486
148.73,90.68,53.98,31361.264999999566
158.59,90.43,54.73,33431.86499999948
157.14,90.43,55.43,33431.86499999948
155.57,90.4,55.68,33431.86499999948
156.39,90.37,55.44,33431.86499999957
158.81,89.2,55.63,33947.324999999415
160.08,88.58,54.52,33711.72499999942
161.06,88.51,53.74,33685.12499999942
155.32,86.99,53.07,33107.52499999941
157.48,87.48,53.18,33107.52499999948
159.85,88.6,53.22,33605.224999999715
161.6,87.92,53.15,33347.50499999971
160.95,88.19,53.5,33347.50499999961
157.86,87.13,53.04,32707.874999999498
157.5,87.37,52.7,32797.87499999942
157.21,87.2,53.15,32822.83499999942
159.78,86.41,54.45,33357.394999999444
159.98,86.21,54.08,33280.19499999944
159.27,86.51,53.94,33395.99499999944
159.86,86.88,54.36,33395.99499999936
161.47,87.3,54.4,33730.87499999951
162.91,86.94,54.1,33591.91499999951
163.35,87.66,54.52,33591.91499999964
164.0,88.12,54.86,33725.16499999974
164.05,87.87,54.93,33629.66499999974
162.08,86.66,55.13,33629.664999999564
161.91,85.72,54.31,33594.47499999956
161.26,86.35,53.47,33459.92499999979
158.63,85.12,53.49,32983.9149999998
161.5,87.01,54.02,32983.9149999998
160.86,87.74,53.54,32853.3549999998
159.65,85.97,54.29,32606.514999999636
158.28,84.58,54.53,32079.704999999634
159.88,85.48,54.67,32420.804999999636
158.67,85.48,54.69,32420.804999999636
158.73,85.84,54.62,32420.804999999713
156.07,85.65,55.15,31878.164999999502
153.39,84.99,55.01,31632.6449999995
151.89,84.29,55.09,31372.2449999995
150.55,83.5,54.95,31078.3649999995
153.14,83.02,55.13,30899.8049999995
154.23,84.1,54.99,31301.564999999497
153.28,83.69,54.5,31149.0449999995
154.12,84.87,53.71,31149.04499999956
153.81,85.84,53.81,31086.42499999951
154.48,85.69,53.99,31032.12499999951
153.48,85.64,53.93,31032.124999999585
155.39,86.0,54.6,31417.944999999585
155.3,89.44,55.17,32673.544999999584
155.84,89.1,55.02,32673.544999999584
155.9,89.08,55.42,32673.54499999946
156.55,89.26,55.64,32809.39499999972
156.0,89.8,55.97,33007.57499999971
156.99,89.93,55.72,33007.57499999957
159.88,89.36,54.91,33614.47499999941
160.47,88.88,54.51,33433.994999999406
159.76,89.09,55.21,33512.95499999941
155.98,89.65,55.4,33723.51499999941
156.25,90.0,54.57,33723.51499999941
156.17,89.94,54.27,33723.51499999959
157.1,90.23,54.28,33923.4649999997
156.41,90.04,54.16,33852.2149999997
157.41,90.28,54.91,33852.214999999705
163.05,91.19,54.88,35064.81499999985
166.72,90.37,55.17,34749.93499999985
169.04,90.54,54.84,34749.934999999896
166.89,90.56,55.13,34933.504999999896
168.11,90.02,54.87,34768.924999999894
172.5,94.25,56.03,35503.20499999989
174.25,92.43,56.57,35845.02499999989
174.81,92.11,57.22,36256.4749999999
176.24,92.66,57.91,36693.24499999989
175.88,91.61,57.36,36345.09499999989
174.67,91.07,57.04,36142.534999999894
173.97,91.37,56.64,35889.3349999999
171.34,91.02,56.93,36072.9049999999
169.08,90.39,56.7,35927.3149999997
171.1,90.97,57.24,36355.554999999695
170.15,90.95,56.93,36154.15499999963
169.98,92.33,56.81,36702.01499999963
173.14,92.45,57.26,36702.01499999971
174.96,91.83,57.14,37086.034999999334
174.97,92.36,56.8,37299.62499999934
174.09,92.88,55.91,37509.184999999336
173.07,94.53,56.66,37509.18499999939
169.48,94.17,57.51,36733.74499999939
171.85,94.11,57.82,36733.74499999939
171.05,93.03,57.32,36733.74499999955
169.8,93.63,58.76,37655.34499999955
169.64,90.66,59.34,38026.544999999554
169.01,91.29,59.28,37988.144999999546
169.32,92.8,59.14,37898.54499999955
169.37,92.52,58.61,37559.34499999955
172.67,92.33,59.07,37853.74499999955
171.7,93.37,59.27,37981.74499999955
172.27,93.94,59.49,38122.54499999955
172.22,92.2,59.7,38256.94499999955
173.97,93.15,58.29,37354.54499999955
176.42,94.49,58.03,37188.144999999546
174.54,93.28,58.01,37175.34499999955
174.35,92.1,57.73,36996.144999999546
175.01,91.62,57.58,36900.144999999546
175.01,90.76,57.3,36720.94499999955
170.57,90.67,57.14,36618.54499999955
170.6,90.8,57.27,36701.74499999955
171.08,90.57,57.81,37047.34499999955
169.23,90.34,57.43,36804.144999999546
172.26,90.55,57.63,36932.14499999964
172.23,89.91,58.71,36925.724999999526
173.03,90.66,58.93,37233.224999999526
175.0,91.88,59.61,37733.42499999952
174.35,92.82,59.31,37733.42499999952
174.33,92.12,59.18,37733.42499999932
174.29,92.38,59.82,37724.784999999334
175.28,93.55,60.0,38202.144999999335
177.09,96.57,60.4,39434.30499999933
176.19,95.86,60.56,39434.30499999933
179.1,97.28,60.66,39434.30499999949
179.26,97.5,61.09,39469.50499999949
178.46,97.8,61.26,39293.50499999947
177.0,97.33,61.41,39105.03499999948
177.04,96.76,61.69,39105.03499999933
174.22,95.84,60.83,38484.63499999949
171.11,97.68,60.55,39222.47499999942
171.51,99.0,57.99,38854.874999999396
167.96,99.18,57.02,38052.574999999306
166.97,99.8,57.19,38290.03499999924
167.43,99.46,56.81,38304.09499999924
167.78,99.12,56.0,38383.894999999204
160.5,103.87,55.77,40222.144999999204
156.49,101.06,54.69,40222.144999999204
163.03,102.76,55.61,40222.14499999934
159.54,102.63,54.46,39363.60499999934
