0,1,2,portfolio
164.0,88.12,54.86,32070.649999997877
164.05,87.87,54.93,32111.529999997878
162.08,86.66,55.13,32111.529999997692
161.91,85.72,54.31,31634.289999997694
161.26,86.35,53.47,31634.28999999745
158.63,85.12,53.49,31646.10999999745
161.5,87.01,54.02,31646.10999999723
160.86,87.74,53.54,31365.309999997226
159.65,85.97,54.29,31365.309999996858
158.28,84.58,54.53,31503.78999999686
159.88,85.48,54.67,31503.789999997323
158.67,85.48,54.69,31515.30999999732
158.73,85.84,54.62,31515.309999997495
156.07,85.65,55.15,31820.589999997494
153.39,84.99,55.01,31820.589999997494
151.89,84.29,55.09,31820.589999997494
150.55,83.5,54.95,31820.589999997494
153.14,83.02,55.13,31820.589999997494
154.23,84.1,54.99,31820.58999999771
153.28,83.69,54.5,31665.60999999771
154.12,84.87,53.71,32111.64999999771
153.81,85.84,53.81,32478.309999997367
154.48,85.69,53.99,32586.84999999737
153.48,85.64,53.93,32586.849999997223
155.39,86.0,54.6,32991.52999999722
155.3,89.44,55.17,32991.52999999722
155.84,89.1,55.02,32991.52999999722
155.9,89.08,55.42,32991.52999999722
156.55,89.26,55.64,32991.52999999722
156.0,89.8,55.97,32991.52999999722
156.99,89.93,55.72,32991.52999999722
159.88,89.36,54.91,32991.52999999722
160.47,88.88,54.51,32991.52999999763
159.76,89.09,55.21,33415.029999997634
155.98,89.65,55.4,33415.02999999726
156.25,90.0,54.57,32914.539999997265
156.17,89.94,54.27,32914.539999997265
157.1,90.23,54.28,32914.539999997534
156.41,90.04,54.16,32841.81999999753
157.41,90.28,54.91,32841.81999999761
163.05,91.19,54.88,32823.87999999761
166.72,90.37,55.17,32823.87999999811
169.04,90.54,54.84,32627.859999998112
166.89,90.56,55.13,32627.85999999792
168.11,90.02,54.87,32474.199999997916
172.5,94.25,56.03,32474.199999998167
174.25,92.43,56.57,32786.85999999817
174.81,92.11,57.22,32786.85999999791
176.24,92.66,57.91,33181.53999999791
175.88,91.61,57.36,33181.53999999768
174.67,91.07,57.04,32996.57999999768
173.97,91.37,56.64,32996.57999999792
171.34,91.02,56.93,33165.35999999792
169.08,90.39,56.7,33165.35999999764
171.1,90.97,57.24,33480.719999997644
170.15,90.95,56.93,33480.7199999975
169.98,92.33,56.81,33410.1599999975
173.14,92.45,57.26,33410.159999997886
174.96,91.83,57.14,33340.19999999789
174.97,92.36,56.8,33340.19999999815
174.09,92.88,55.91,32818.659999998155
173.07,94.53,56.66,32818.659999998235
169.48,94.17,57.51,33310.80999999824
171.85,94.11,57.82,33310.80999999824
171.05,93.03,57.32,33310.809999998375
169.8,93.63,58.76,34147.449999998375
169.64,90.66,59.34,34147.449999998375
169.01,91.29,59.28,34147.449999998375
169.32,92.8,59.14,34147.449999998375
169.37,92.52,58.61,34147.449999998375
172.67,92.33,59.07,34147.449999998375
171.7,93.37,59.27,34147.449999998375
172.27,93.94,59.49,34147.449999998375
172.22,92.2,59.7,34147.449999998375
173.97,93.15,58.29,34147.449999998375
176.42,94.49,58.03,34147.44999999865
174.54,93.28,58.01,34135.68999999865
174.35,92.1,57.73,34135.689999998795
175.01,91.62,57.58,34047.03999999879
175.01,90.76,57.3,34047.03999999902
170.57,90.67,57.14,33951.999999999025
170.6,90.8,57.27,33951.99999999887
171.08,90.57,57.81,34271.67999999887
169.23,90.34,57.43,34271.67999999873
172.26,90.55,57.63,34390.87999999873
172.23,89.91,58.71,34390.87999999912
173.03,90.66,58.93,34519.57999999912
175.0,91.88,59.61,34519.579999999056
174.35,92.82,59.31,34872.079999999056
174.33,92.12,59.18,34609.57999999891
174.29,92.38,59.82,34983.339999998905
175.28,93.55,60.0,34983.339999998905
177.09,96.57,60.4,34983.339999998905
176.19,95.86,60.56,34983.339999998905
179.1,97.28,60.66,34983.339999998905
179.26,97.5,61.09,34983.339999998905
178.46,97.8,61.26,34983.339999998905
177.0,97.33,61.41,34983.339999998905
177.04,96.76,61.69,34983.339999998905
174.22,95.84,60.83,34983.339999998905
171.11,97.68,60.55,34983.339999998905
171.51,99.0,57.99,34983.339999998905
167.96,99.18,57.02,34983.339999998905
166.97,99.8,57.19,34983.339999998905
167.43,99.46,56.81,34983.339999998905
167.78,99.12,56.0,34983.339999998905
160.5,103.87,55.77,34983.33999999881
156.49,101.06,54.69,34306.17999999881
163.03,102.76,55.61,34883.01999999881
159.54,102.63,54.46,34161.96999999881
